Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Validation Class 0,Validation Class 1
1,0.5713407998754269,0.7066374270121257,0.5022557149086779,0.7540350875380446,0.7343314015883237,0.794461578000514,0.7312219131179114,0.7815321124580862
2,0.5067899183780824,0.7602046784601714,0.5105160126909178,0.7505263155942773,0.6602275166344709,0.8662940118221537,0.6597474855553178,0.8599432550941449
3,0.495181369174991,0.7699122807156971,0.48317712274908325,0.7678362571008025,0.7615904700579523,0.7898997686969931,0.7607532634282046,0.7763734846530823
4,0.48673006676791003,0.7735964913535534,0.48167997616076336,0.7741520469509371,0.7953423481433785,0.7600873811359548,0.7967044725016049,0.7469693061645603
5,0.4802980776558145,0.7759941520746689,0.4875525955289429,0.7683040937485054,0.730789869070616,0.8250449755846826,0.7320778942863257,0.811968016507609
6,0.4754733412028753,0.7799415204957217,0.4695754601802045,0.7807017542186536,0.7681369392573514,0.8026214340786431,0.7731649903702118,0.7897859169460923
7,0.4704716895198266,0.7829532164718674,0.4753601124202995,0.7775438597746064,0.7487121699935608,0.8228604471858134,0.7515514658677509,0.8088728398246067
8,0.46653052285400753,0.7821929825119112,0.49247469666408517,0.7676023390139753,0.6966623738999785,0.8615394500128501,0.6986946287181682,0.850657725045138
9,0.4660454463958741,0.7826315790031393,0.4626544766398201,0.7864327483707003,0.7643807684052372,0.8143793369313801,0.7699550609886583,0.8062935259221047
10,0.4624776850945767,0.7855555556392114,0.4556023053955613,0.7877192983710973,0.783322601416613,0.8018504240555128,0.785148726728012,0.7908176425070931
11,0.4599540380009434,0.7848245614592794,0.4638464105338381,0.783625731133578,0.8007083065035415,0.7775636083269083,0.8033383265568157,0.7598658756770699
12,0.45723654691238846,0.7895321638681743,0.4544187326319733,0.7908771931497675,0.796415539815411,0.789450012850167,0.8056922747699551,0.7730203765798298
13,0.4568757201217072,0.7894152047480758,0.4731963113037467,0.7792982456976908,0.8349431208413822,0.7263556926240041,0.8375775732933876,0.7090533917977818
14,0.4533667307081277,0.7889473685465359,0.461543192765866,0.7861988305627254,0.816215926164413,0.759509123618607,0.8225979028461374,0.7423265411400567
15,0.4509487105740442,0.7916081870787327,0.4564341894646138,0.7925146197017873,0.8471238463189525,0.7399126188640452,0.8525572437406377,0.7201444415785401
16,0.4513744822789354,0.7911403509190212,0.4609475126391963,0.7916959066140024,0.8686413393432066,0.7061166795168338,0.8752407447036166,0.6909981944802682
17,0.4493154072831248,0.7935964913117263,0.46290241944859595,0.7822222219991403,0.7715711526078558,0.8142508352608584,0.7729509950781083,0.7933969564095951
18,0.44651254034181764,0.7939181287804546,0.45588297670347655,0.788888888986487,0.7670637475853187,0.8306990490876381,0.7658891504386903,0.8166107815321124
19,0.44735540069334695,0.7931578947926126,0.4573694362975003,0.7923976609860247,0.8065572011161194,0.7877794911333847,0.8080462229830944,0.7735362393603301
20,0.4433379797280186,0.7980116958367198,0.45452249239062714,0.791812865608617,0.8300600987336338,0.7607298894885633,0.8328696768671089,0.7423265411400567
21,0.44211797507882794,0.796578947340536,0.45162414462942835,0.7954385966585393,0.7799957072333119,0.8262657414546389,0.7838647549753905,0.8093887026051071
22,0.44113721634909414,0.7970175439711901,0.46128058842051106,0.7897076021300423,0.8588752951277098,0.7251349267540478,0.8621870318852985,0.7023471756512768
23,0.4388680635279383,0.7991520468393963,0.45083803977882647,0.7987134504318238,0.8322601416613007,0.7637496787458237,0.8375775732933876,0.7518700025793139
24,0.4394091957702972,0.797836257184458,0.4429511532030609,0.8033918129630953,0.8132109894827216,0.8037136982780776,0.8155360582067195,0.7887541913850916
25,0.4368457791261507,0.8012865498330862,0.45614022422255146,0.792163742815542,0.7572977033698218,0.8456052428681573,0.7592552963834795,0.8318287335568739
26,0.4361644924244687,0.8008187134781778,0.45189698286223823,0.7906432747004324,0.7580489375402447,0.8488177846312002,0.7577573293387545,0.8302811452153727
27,0.4351942495853581,0.8005555556531541,0.448525085177338,0.7920467837651569,0.7659368963296845,0.8465690053970701,0.7628932163492403,0.8271859685323704
28,0.43190086168155334,0.8005263159010148,0.4600173194366589,0.7911111112923648,0.8349431208413822,0.7607298894885633,0.8354376203723518,0.7376837761155532
29,0.43202477929884936,0.8018128653715929,0.45665677078286127,0.7891228071709127,0.7504829362524147,0.8573631457208943,0.748983522362508,0.8375032241423781
30,0.429832196542394,0.80432748544983,0.44409516709589825,0.7982456141745138,0.7945911139729556,0.8287715240298124,0.7922105713674299,0.8055197317513542
31,0.4296046130768737,0.8062865496936602,0.43927261481508173,0.8024561401696233,0.829308864563211,0.7961320997172964,0.827305799272416,0.7725045137993294
32,0.42994435810206233,0.803421052533981,0.4471270943454832,0.7960233916176689,0.7864885168491093,0.8306990490876381,0.7808688208859406,0.8142893990198607
33,0.42500013310309737,0.8066081871902733,0.4503977369216451,0.7913450294070773,0.7657222579952779,0.8558211256746338,0.7596832869676867,0.8295073510446221
34,0.4244809593234146,0.8076023391952296,0.4511591410427764,0.7902923974656223,0.7731272805323031,0.8468902595733745,0.7680291033597261,0.8171266443126128
35,0.4238902873811666,0.8068128656225595,0.4585219927001418,0.792397660972082,0.8493238892466195,0.7633641737342586,0.8390755403381126,0.7361361877740521
36,0.423095664559749,0.8086842104984311,0.44242742562154586,0.8015204675852903,0.8588752951277098,0.766833718838345,0.8525572437406377,0.740005158627805
37,0.4202899366303493,0.8092105261903062,0.4841970734568368,0.7857309939707929,0.8720218931101095,0.7129915188897455,0.8666809330194736,0.6881609491875161
38,0.4194359802851203,0.8116081871066174,0.44542369535094806,0.7977777775407534,0.8028010302640052,0.8320483166281162,0.7913545901990157,0.8055197317513542
39,0.4176033381830182,0.8130994152883342,0.44581990546650363,0.7978947369397034,0.8161622665808114,0.8184913903880751,0.8082602182751979,0.785401083311839
40,0.4161012858187246,0.8097660817458617,0.4460156661725183,0.7976608188528764,0.8139622236531444,0.8235672063736829,0.8005563877594692,0.7941707505803456
41,0.41535126690976093,0.8116374269563557,0.4401623039914851,0.7988304091336437,0.8363382700150247,0.8101387818041634,0.8221699122619303,0.770698994067578
42,0.41344975498684666,0.8126608187413356,0.46265917598155504,0.7942690060152645,0.8627924447306289,0.7568748393729119,0.8525572437406377,0.724013412432293
43,0.4119140124948401,0.8137134503481686,0.4378368483858499,0.801169590768758,0.8451921013092938,0.8091750192752506,0.8283757757329339,0.7683776115553262
44,0.40863864509682923,0.8147368422168043,0.4371629030802097,0.8019883042190509,0.8377334191886671,0.8141223335903367,0.8247378557671731,0.774567964921331
45,0.408271941866791,0.8153508770953842,0.4588825979706838,0.7842105261066507,0.7560635329469844,0.8692495502441532,0.7432056494757115,0.8336342532886252
46,0.4050561416567419,0.8155555554719004,0.4461593297977894,0.8017543861043385,0.8336552908349432,0.8188126445643793,0.8172480205435481,0.7830797007995873
47,0.4044776822739873,0.817807017571745,0.4526424635990322,0.8003508773184658,0.8504507405022537,0.8049987149832948,0.8305157286539696,0.763992777921073
48,0.40042155866734497,0.8193567252019694,0.45254585483617943,0.7905263155663922,0.7825177076625885,0.8690567977383706,0.7626792210571367,0.8240907918493681
49,0.39979960871718756,0.8207309942496449,0.44188191289093065,0.7955555556949816,0.8696608714316377,0.7960678488820354,0.8382195591696983,0.744132060871808
50,0.39821072971611676,0.8201169590922126,0.4573893995731198,0.79263157911468,0.878783000643915,0.7611796453353894,0.8589771025037449,0.7126644312612845
51,0.39546235964312204,0.82146198817861,0.44130022992864687,0.799415204873559,0.8263575874651212,0.8496530454895914,0.7960624866252942,0.8034562806293526
52,0.39410153142890053,0.8232456140908585,0.4526717840370379,0.7991812866612484,0.8296308220648207,0.8400154202004626,0.8007703830515729,0.797265927263348
53,0.39241448851356725,0.8250000000000004,0.44558017967737207,0.7981286547476785,0.8587679759605066,0.8301207915702904,0.8262358228118981,0.7642507093113232
54,0.38984576343792926,0.8256432748538014,0.45531834829620443,0.795789473419301,0.8770658939686629,0.7949755846826009,0.8446394179328055,0.7369099819448027
55,0.3866856293092695,0.8271637427597717,0.45087830835615683,0.7952046781534341,0.8710560206052801,0.8129658185556412,0.8322276909907982,0.750580345628063
56,0.3825205172711643,0.8291812866054783,0.44707479704890335,0.7899415203144676,0.8682120626743937,0.8265869956309432,0.8219559169698266,0.7513541397988135
57,0.3808636918263131,0.8300000000278852,0.45946345187767207,0.7897076024367795,0.9040566645202833,0.7615651503469545,0.8624010271774021,0.7020892442610266
58,0.3769975827869616,0.8312573099833485,0.4546360369105089,0.7966081869253638,0.8216892036917793,0.872526342842457,0.7855767173122191,0.8099045653856074
59,0.3760346443053576,0.8323099414646976,0.4529320387045543,0.7936842106657418,0.8600558059669456,0.8368671292726806,0.8131821099935801,0.7701831312870776
60,0.3720224749205407,0.834766081982886,0.45682302502860794,0.8005847954750065,0.8532946984331402,0.8411719352351581,0.8133961052856837,0.7851431519215889
61,0.3687203651004367,0.8352046784741142,0.45638689716657016,0.8001169588412458,0.8626851255634256,0.8480467746080699,0.8114701476567515,0.7864328088728398
