Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Validation Class 0,Validation Class 1
1,0.5230895049530159,0.7900877193121884,0.5201424061554916,0.7942690057782402,1.0,0.0,1.0,0.0
2,0.5112526912507956,0.7930994151907346,0.5204389839702183,0.7942690058897812,1.0,0.0,1.0,0.0
3,0.5093898033328924,0.7932748538011692,0.5249114048620418,0.7942690058758387,1.0,0.0,1.0,0.0
4,0.5076577648084758,0.7935087719298239,0.5134276031053553,0.7942690058061253,1.0,0.0,1.0,0.0
5,0.5053086445484942,0.7937134502784539,0.5166356690306413,0.79426900572247,1.0,0.0,1.0,0.0
6,0.5038594515560667,0.7939181286549706,0.49514259074166483,0.7942690059594946,1.0,0.0,1.0,0.0
7,0.5019290562331326,0.7938304093567242,0.5096549468012583,0.7942690059037241,1.0,0.0,1.0,0.0
8,0.5015425734980068,0.7937134502784536,0.4984333976946381,0.794269005792183,1.0,0.0,1.0,0.0
9,0.4995883354806063,0.793771929838503,0.5074850769070852,0.7942690057224697,1.0,0.00014186409419775854,1.0,0.0
10,0.49674434632585784,0.7937719298106178,0.49185510003775884,0.794152046741798,0.9999263378881073,0.0,0.9998527462818436,0.0
11,0.49591470035893187,0.7938011696045851,0.5069434008751696,0.7927485379559257,0.9975691503075393,0.009504894311249823,0.996907671918716,0.0045480386583285955
