Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Validation Class 0,Validation Class 1
1,0.7354331627272466,0.5743748388770967,0.746578076096834,0.5663573422686906,0.0,1.0,0.0,1.0
2,0.7386519544709301,0.57437483889356,0.7467194180246973,0.5663573426988905,0.0,1.0,0.0,1.0
3,0.7387431522752639,0.5743748388913649,0.7467830208075172,0.5663573421808947,0.0,1.0,0.0,1.0
4,0.7387889419428066,0.5743748388891701,0.7468180074346207,0.5663573432607842,0.0,1.0,0.0,1.0
5,0.738815123589795,0.57437483889356,0.7468392493570654,0.5663573422247926,0.0,1.0,0.0,1.0
6,0.7388316527263099,0.574374838891365,0.7468532036832444,0.5663573425671966,0.0,1.0,0.0,1.0
7,0.7388428117549912,0.5743748388792917,0.746862852849074,0.5663573431729885,0.0,1.0,0.0,1.0
8,0.7388506987448474,0.5743748388770965,0.7468697930456946,0.5663573425671966,0.0,1.0,0.0,1.0
9,0.7388565297377543,0.5743748388814868,0.746875135418171,0.5663573431290905,0.0,1.0,0.0,1.0
10,0.7388609897843188,0.5743748388891698,0.7468791889642157,0.5663573425232986,0.0,1.0,0.0,1.0
11,0.7388644662609516,0.5743748388935602,0.7468824517675977,0.5663573432168864,0.0,1.0,0.0,1.0
12,0.7388672235766921,0.5743748388869746,0.7468850791392858,0.5663573426549926,0.0,1.0,0.0,1.0
